state,numcol,yieldpercol,totalprod,stocks,priceperlb,prodvalue,year
OH,11000,50,"550,000.00",132000,2.81,1546000,2009
OR,55000,34,"1,870,000.00",767000,1.54,2880000,2009
PA,21000,40,"840,000.00",319000,2.03,1705000,2009
SD,270000,66,"17,820,000.00",6237000,1.42,25304000,2009
TN,7000,51,"357,000.00",86000,2.37,846000,2009
TX,89000,63,"5,607,000.00",1065000,1.39,7794000,2009
UT,26000,38,"988,000.00",198000,1.46,1442000,2009
VT,5000,49,"245,000.00",69000,2.01,492000,2009
VA,6000,39,"234,000.00",56000,3.45,807000,2009
WA,62000,44,"2,728,000.00",1064000,1.58,4310000,2009
WV,5000,37,"185,000.00",33000,2.6,481000,2009
WI,63000,60,"3,780,000.00",1588000,1.58,5972000,2009
WY,37000,48,"1,776,000.00",391000,1.43,2540000,2009
AL,9000,54,"486,000.00",73000,2.4,1166000,2010
AZ,24000,77,"1,848,000.00",665000,1.52,2809000,2010
AR,25000,60,"1,500,000.00",360000,1.47,2205000,2010
CA,410000,67,"27,470,000.00",6318000,1.55,42579000,2010
CO,34000,56,"1,904,000.00",533000,1.52,2894000,2010
FL,2.00E+05,69,"13,800,000.00",1794000,1.56,21528000,2010
GA,55000,46,"2,530,000.00",152000,1.67,4225000,2010
HI,10000,77,"770,000.00",239000,2.75,2118000,2010
ID,97000,27,"2,619,000.00",1179000,1.61,4217000,2010
IL,9000,41,"369,000.00",92000,2.78,1026000,2010
IN,10000,43,"430,000.00",151000,2.23,959000,2010
IA,27000,49,"1,323,000.00",463000,1.92,2540000,2010
KS,9000,52,"468,000.00",103000,2.02,945000,2010
KY,5000,67,"335,000.00",67000,2.72,911000,2010
LA,36000,80,"2,880,000.00",288000,1.5,4320000,2010
ME,5000,41,"205,000.00",33000,2.05,420000,2010
MI,71000,58,"4,118,000.00",1524000,1.67,6877000,2010
MN,128000,66,"8,448,000.00",1774000,1.55,13094000,2010
MS,16000,98,"1,568,000.00",78000,1.44,2258000,2010
MO,11000,52,"572,000.00",92000,1.8,1030000,2010
MT,157000,74,"11,618,000.00",2905000,1.58,18356000,2010
